Business Name,Contact Person,Phone Number,Location,Google Rating,Review Count,Profile Claimed?,Google Maps URL,Website URL,Source
"Apollo Dental Clinic, Hebbal - Best Dental Clinic in Bangalore - Root Canal, Aligners, Implants, Crowns and Veneers",,+91 88847 77950,"Park, 3, Sona Plaza, Ground Floor, 16th cross, Outer Ring Rd, opp. Coffee Board Layout",4.9,408,Unknown,"https://www.google.com/maps/place/Apollo+Dental+Clinic,+Hebbal+-+Best+Dental+Clinic+in+Bangalore+-+Root+Canal,+Aligners,+Implants,+Crowns+and+Veneers/data=!4m7!3m6!1s0x3bae1764b76346e3:0x2c78aa8f3727b420!8m2!3d13.0532125!4d77.6045631!16s%2Fg%2F11w95_d2_7!19sChIJ40Zjt2QXrjsRILQnN4-qeCw?authuser=0&hl=en&rclk=1",https://apollodental.in/bengaluru/our-clinics,Google Maps
National Dental Care,,+91 92369 52369,"4th Floor, 14th, main road, 17th Cross Rd, near BDA Complex, above MCDonalds and Dindigul Thalappakatti Biriyani",4.9,559,Unknown,https://www.google.com/maps/place/National+Dental+Care/data=!4m7!3m6!1s0x3bae1580df1ada0d:0x455401f460dc22f7!8m2!3d12.9121375!4d77.6379842!16s%2Fg%2F11x2x6kbht!19sChIJDdoa34AVrjsR9yLcYPQBVEU?authuser=0&hl=en&rclk=1,https://www.nationaldentalcare.in/,Google Maps
"Dr Ali's DentaCare | Dentist, RCT & Orthodontic Center in Bengaluru",,+91 91418 29885,"19, Chinnaswamy Mudaliar Rd",4.9,501,Unknown,"https://www.google.com/maps/place/Dr+Ali%27s+DentaCare+%7C+Dentist,+RCT+%26+Orthodontic+Center+in+Bengaluru/data=!4m7!3m6!1s0x3bae179ff45f4203:0xdb43b43447e140d0!8m2!3d12.9854856!4d77.598008!16s%2Fg%2F11b6dzc36_!19sChIJA0Jf9J8XrjsR0EDhRzS0Q9s?authuser=0&hl=en&rclk=1",https://dralisdentacare.com/,Google Maps
All Care Dental Centre Indiranagar,,+91 98450 79479,545,4.7,342,Unknown,https://www.google.com/maps/place/All+Care+Dental+Centre+Indiranagar/data=!4m7!3m6!1s0x3bae16a482dbf40b:0x75086d59868659c2!8m2!3d12.9781153!4d77.6377589!16s%2Fg%2F1tg5shpb!19sChIJC_TbgqQWrjsRwlmGhlltCHU?authuser=0&hl=en&rclk=1,http://www.allcaredentalcentre.in/,Google Maps
Bright Dental Clinic,,+91 86188 23250,"Unit #C,No. 101, prestige court, K.H, Double Rd",5.0,123,Unknown,https://www.google.com/maps/place/Bright+Dental+Clinic/data=!4m7!3m6!1s0x3bae15c6a2329d7d:0x220e9ecdb7e60ea9!8m2!3d12.9576207!4d77.5925557!16s%2Fg%2F11t282ww4l!19sChIJfZ0yosYVrjsRqQ7mt82eDiI?authuser=0&hl=en&rclk=1,https://brightdental.co.in/,Google Maps
Cosmetic Dental Clinic,,+91 63661 95959,"208, 17th E Main Rd",4.8,174,Unknown,https://www.google.com/maps/place/Cosmetic+Dental+Clinic/data=!4m7!3m6!1s0x3bae14456687e8d9:0x6686646ce8799810!8m2!3d12.9362571!4d77.6197962!16s%2Fg%2F1wbfyvnj!19sChIJ2eiHZkUUrjsREJh56GxkhmY?authuser=0&hl=en&rclk=1,http://www.cosmeticdentalclinics.in/,Google Maps
Jeevan Dental Clinic,,+91 98868 92438,"No. 702, Premson Complex, 6th A Cross Rd, behind BDA Shopping Complex",4.9,1171,Unknown,https://www.google.com/maps/place/Jeevan+Dental+Clinic/data=!4m7!3m6!1s0x3bae144e76c21947:0xc167498323294fa3!8m2!3d12.9305223!4d77.6229666!16s%2Fg%2F1pt_xnf82!19sChIJRxnCdk4UrjsRo08pI4NJZ8E?authuser=0&hl=en&rclk=1,https://www.jeevandental.com/,Google Maps
Geetha Dental Clinic,,+91 99000 08081,"OMKARA, 8, 1, Ganesh Mandir Rd",5.0,2060,Unknown,https://www.google.com/maps/place/Geetha+Dental+Clinic/data=!4m7!3m6!1s0x3bae158fb73c8777:0x10b6795c5d5f979!8m2!3d12.9338026!4d77.5716548!16s%2Fg%2F1vp6ymsk!19sChIJd4c8t48VrjsRefnVxZVnCwE?authuser=0&hl=en&rclk=1,https://alignersbraces.com/,Google Maps
Dental Lavelle,,+91 80 4112 1314,"120, Lavelle Road",5.0,687,Unknown,https://www.google.com/maps/place/Dental+Lavelle/data=!4m7!3m6!1s0x3bae16781e3d31af:0xbf31525ea94b5ed1!8m2!3d12.9683921!4d77.596458!16s%2Fg%2F1tdjplgw!19sChIJrzE9HngWrjsR0V5LqV5SMb8?authuser=0&hl=en&rclk=1,http://www.dentallavelle.com/,Google Maps
Smile Dental Care,,+91 80 2338 8683,"5th Main Road, 4, 4th Cross Rd",4.8,242,Unknown,https://www.google.com/maps/place/Smile+Dental+Care/data=!4m7!3m6!1s0x3bae3e7390000001:0x2a905505abf4cbe!8m2!3d12.9645117!4d77.5380121!16s%2Fg%2F1tk6ns98!19sChIJAQAAkHM-rjsRvky_WlAFqQI?authuser=0&hl=en&rclk=1,https://www.smile-dentalcare.com/,Google Maps
